,step,average_time,average_reward
0,0,153.10371399225915,0.47973012886799
1,1,13.317483130621728,0.5359305381466306
2,2,12.741582136938666,0.5433549034197109
3,3,12.77393628423099,0.5491198898485999
4,4,12.597149296839381,0.5482710269926725
5,5,12.743263726693264,0.5444323755113817
6,6,12.541082556951554,0.5468043753026932
7,7,12.43330035018827,0.5469366880579766
8,8,12.489988669574675,0.5440222485687268
9,9,12.487488477342731,0.5435734985763233
10,10,12.564106136519573,0.5431388044453651
11,11,12.640121793227822,0.5431260846353189
12,12,12.263831802702528,0.5479796836504262
13,13,12.575063988511518,0.544012684055573
14,14,12.524606119482378,0.5454760275017487
15,15,12.563365824509443,0.5452836471507597
16,16,12.601331037710068,0.5466121896802297
17,17,12.546451296914503,0.5467659046370974
18,18,12.40277572878811,0.5455767161509856
19,19,12.135884598122331,0.5462265629706666
20,20,12.697209966895773,0.5537480582073052
21,21,12.217350780606166,0.5380602842574747
22,22,12.605291904333482,0.5375777718767213
23,23,12.668052388315502,0.5273655148207456
24,24,12.614200436579475,0.5438007863375369
25,25,12.843702521400713,0.5405490306309944
26,26,12.738026969907128,0.546101430925367
27,27,12.463985740499346,0.5463486953446727
28,28,12.862435233465284,0.5411455741850143
29,29,12.901280775812515,0.5406848982999821
30,30,12.931832952486879,0.5389524882417916
31,31,12.766467084958647,0.544533555730438
32,32,12.781639867094082,0.5439103418221376
33,33,12.617317783964792,0.5468283755125083
34,34,12.78546816982541,0.5485838744901573
35,35,12.475111045193792,0.5479474761309594
36,36,12.597259545890187,0.5422143220465
37,37,12.570452007948635,0.5405194973413445
38,38,12.676277702814016,0.5415582248439607
39,39,12.051975208361743,0.5440092745200814
40,40,12.130732256646771,0.5405503952893119
41,41,12.62328851067559,0.5509874507164326
42,42,12.541744947843451,0.541729471571008
43,43,12.429158219537289,0.5451849432558399
44,44,12.478044971262305,0.5489883870562362
45,45,12.742207419562467,0.5497288463176483
46,46,12.524265095160924,0.5513439331074831
47,47,12.599207813836207,0.538896796089535
48,48,12.465239931272858,0.5444519975703953
49,49,12.471017776737003,0.5521843617229281
50,50,12.702235980745007,0.5509371299998594
51,51,12.713909769042811,0.5428678301091444
52,52,12.534147887146476,0.5494429570200051
53,53,12.622914924484038,0.5428385815531963
54,54,12.606260951753226,0.549386836159172
55,55,12.63124588652294,0.4883894352822361
56,56,12.485506001660054,0.5508534088558976
57,57,12.565943356430152,0.5469652852935352
58,58,12.358654941509316,0.5433380823889309
59,59,12.469364789446342,0.5451354007812091
60,60,12.64012729346427,0.5403380992174378
61,61,13.002298543712474,0.5474229426083467
62,62,12.430429088351463,0.5449418918256088
63,63,12.35873241986279,0.544824582582845
64,64,12.471128493793051,0.5377390005310535
65,65,12.605250342890734,0.5377885084275097
66,66,12.646723234998,0.5393323699130205
67,67,12.65140782020978,0.5384511056113918
68,68,12.430570469707705,0.5098371416695238
69,69,12.913674919664658,0.5378865134097147
70,70,12.325756954710961,0.544025788724474
71,71,12.34696726603916,0.5458244686593706
72,72,12.873591326703037,0.5521891950293264
73,73,12.519601792732729,0.5510307735004263
74,74,12.477715422949165,0.5419125838800448
75,75,12.65673635741535,0.5514658641880722
76,76,12.743678389525682,0.5507672383406735
77,77,12.236636279990059,0.5515307373666887
78,78,12.295211155259896,0.5474208747449716
79,79,12.24371145251286,0.5446095931483415
80,80,12.348626731385119,0.53417198097938
81,81,12.594084284969732,0.5509925691259098
82,82,12.49694973976704,0.5496297806806376
83,83,12.536971654878633,0.5373797644383874
84,84,12.654881214123137,0.47607449895386367
85,85,12.667305377479797,0.5376081722446178
86,86,12.067417300342901,0.5377427883127167
87,87,12.44250796462287,0.550181121749655
88,88,12.49815091342983,0.5393565270700019
89,89,12.553379209760466,0.5493841406991344
90,90,12.719396572498123,0.5452107976876782
91,91,12.696417022675124,0.541597231827434
92,92,12.418237326587986,0.5498777714021572
93,93,12.489011060695873,0.5499765514019976
94,94,12.468157425422227,0.550105385987338
95,95,12.735429984203115,0.5503193886012466
96,96,12.612515976956367,0.5503193886012466
97,97,12.430650941803494,0.5465249426227039
98,98,12.764990557383983,0.5502177213483165
99,99,12.690236798306573,0.5501902465520527
100,100,12.54152765740146,0.548049863124946
101,101,12.669646488350926,0.5387812560719943
102,102,12.745164284509707,0.5499239338583669
103,103,12.473073592960652,0.5499137703289801
104,104,12.770170591507288,0.5502013037086543
105,105,12.36001092566235,0.5502015076581254
106,106,12.55667075460873,0.5476300466420295
107,107,12.515783066388563,0.5249034202541003
108,108,12.56843795904579,0.5458500366578649
109,109,12.44815540581853,0.543816086906799
110,110,12.943905596833154,0.4487955251976065
111,111,12.884877294317821,0.43058946842441914
112,112,12.836180906713079,0.4318053142972575
113,113,12.39093691047807,0.43331594120314876
114,114,12.927532117898945,0.4483332713062305
115,115,13.038621483393703,0.4567175387972497
116,116,12.810801291649701,0.5460776299374771
117,117,12.452499928361497,0.5482337799067767
118,118,12.726723565949525,0.5480839113149881
119,119,13.01613093198504,0.5397203023150287
120,120,12.797267836687894,0.543005131135425
121,121,12.78310376676256,0.5438496317192564
122,122,12.579403526545978,0.5431135814743109
123,123,12.460472212007026,0.5407796041511193
124,124,12.613881838646089,0.5411556933584256
125,125,12.67592719009188,0.541228751039679
126,126,12.544768068673045,0.517028447117073
127,127,12.592724743755804,0.4424915748676597
128,128,12.529008164720464,0.5271278090605339
129,129,12.747348951989858,0.5282266337015733
130,130,12.772775053861949,0.4808412979493449
131,131,12.477199495016345,0.5349687444782655
132,132,12.281671353374612,0.5403414819619219
133,133,12.515606426672536,0.5475026701951191
134,134,12.720665135587401,0.542746711169154
135,135,12.61292067569764,0.514262256387618
136,136,12.411709686363965,0.5461462595243693
137,137,12.503865444952694,0.5435940305613336
138,138,12.300198827968284,0.5262657855350686
139,139,12.406135429047858,0.5432686047461738
140,140,12.699615708606988,0.53916318082852
141,141,12.411678357062442,0.5488541454999407
142,142,12.644379202856573,0.5391033277146231
143,143,12.548741561828297,0.5319468824590315
144,144,12.407913863531752,0.5398867068708094
145,145,12.423799689892192,0.5455919074265267
146,146,12.860270030945816,0.502779053021082
147,147,12.71179217348394,0.5416989175883513
148,148,12.300345739105719,0.5479074715890858
149,149,12.573964072788062,0.541865329116878
150,150,12.360878203624871,0.5489369933731778
151,151,12.37210489630461,0.5432195835978643
152,152,12.717626932386457,0.5431960397934162
153,153,12.423684476527946,0.543209979839397
154,154,12.511215294586476,0.5436414081737919
155,155,12.83110430251981,0.5405692109256921
156,156,12.413749227658567,0.5478648022457872
157,157,12.575803121991584,0.5485286686187324
158,158,12.674309364392466,0.5484921654031601
159,159,12.47968243537216,0.5461876307207594
160,160,12.589376063467453,0.5474607096411842
161,161,12.812593150889109,0.5410995368543207
162,162,12.612567320230538,0.5404284479132443
163,163,12.505343277694196,0.5460606903734909
164,164,12.623053663837004,0.546850189515253
165,165,12.72757171874805,0.5426171115856492
166,166,12.693343399482597,0.5466567503752124
167,167,12.7282038349748,0.5468088045576941
168,168,12.568617838109049,0.48237495436587546
169,169,12.723644427175376,0.5471081563051697
170,170,12.65444976707298,0.5488806068453088
171,171,12.734216483689432,0.5474977900292655
172,172,12.616694405622404,0.5471940014530502
173,173,12.732347556725461,0.5494316495051959
174,174,12.578849885488287,0.5490438341403504
175,175,12.933171620762206,0.5419341077383225
176,176,12.618346011369004,0.5519416757402725
177,177,12.682445921715615,0.5041424382827092
178,178,12.627829706910088,0.5466516100740519
179,179,12.665423370886819,0.543784124897104
180,180,12.54726016682175,0.462677638598857
181,181,12.56644454412335,0.4569696962872091
182,182,12.43360912791816,0.5490764177523209
183,183,12.352157960141506,0.5329770455868964
184,184,12.591965682640875,0.5512427463875061
185,185,12.306191855330297,0.5494707428352834
186,186,12.73989894685355,0.5486854492893971
187,187,12.491829253606214,0.550290713412342
188,188,12.92676772129362,0.5451711301637473
189,189,12.818894928803463,0.5404049603831744
190,190,12.581133631709973,0.5405779255844867
191,191,12.420412387692405,0.46274633103991647
192,192,12.408190658570808,0.5485384789740414
193,193,12.618004710210052,0.5438773828258583
194,194,12.595222064846112,0.5478654920241771
195,195,12.543826510570259,0.5501520942826404
196,196,12.647059380189717,0.5495817202918191
197,197,12.696684372064151,0.542438442623625
198,198,12.648190482595744,0.5429515138551543
199,199,12.657730328980948,0.548012199661085
200,200,12.564657071999942,0.5513061933121046
201,201,12.451937618518443,0.5495001998666305
202,202,12.873850084788984,0.5511493869824935
203,203,12.473108232285906,0.5514619336765842
204,204,12.59440590950466,0.5526801408643007
205,205,12.69538656804474,0.5506856268142295
206,206,12.813773579445087,0.5335934557210282
207,207,12.17773775015918,0.5493709779676208
208,208,12.69210735744262,0.5436225295887895
209,209,12.549387354300462,0.5503294218237356
210,210,12.701374023032155,0.5506760515637785
211,211,12.198069203917811,0.55011493706408
212,212,12.638684481025482,0.5502023126328384
